month,cpo_price_myr_t
2024-01-01,3783.5
2024-02-01,3949.5
2024-03-01,4215.5
2024-04-01,4257.0
2024-05-01,3902.5
2024-06-01,3957.5
2024-07-01,4034.0
2024-08-01,3910.5
2024-09-01,4023.5
2024-10-01,4387.5
2024-11-01,5011.5
2024-12-01,5119.5
2025-01-01,4672.5
2025-02-01,4759.0
2025-03-01,4740.0
2025-04-01,4319.5
2025-05-01,3880.5
2025-06-01,3969.0
2025-07-01,4112.5
2025-08-01,4329.0
2025-09-01,4371.5
2025-10-01,4412.5
2025-11-01,4089.5
2025-12-01,4042.5
2026-01-01,4018.5
2026-02-01,4077.5
2026-03-01,4321.0
2026-04-01,4567.5
2026-05-01,4498.5
2026-06-01,4490.5
2026-07-01,4493.0
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
