month,region,ffb_yield_t_ha
2014-01-01,Sabah,1.8
2014-01-01,MALAYSIA,1.49
2014-01-01,Sabah & Sarawak,1.56
2014-02-01,Sabah,1.49
2014-02-01,MALAYSIA,1.21
2014-02-01,Sabah & Sarawak,1.28
2014-03-01,Sabah & Sarawak,1.42
2014-03-01,Sabah,1.63
2014-03-01,MALAYSIA,1.39
2014-04-01,MALAYSIA,1.45
2014-04-01,Sabah,1.68
2014-04-01,Sabah & Sarawak,1.46
2014-05-01,MALAYSIA,1.53
2014-05-01,Sabah,1.8
2014-05-01,Sabah & Sarawak,1.55
2014-06-01,Sabah & Sarawak,1.43
2014-06-01,MALAYSIA,1.43
2014-06-01,Sabah,1.64
2014-07-01,Sabah,1.62
2014-07-01,Sabah & Sarawak,1.52
2014-07-01,MALAYSIA,1.55
2014-08-01,MALAYSIA,1.94
2014-08-01,Sabah,1.96
2014-08-01,Sabah & Sarawak,1.89
2014-09-01,Sabah & Sarawak,1.79
2014-09-01,MALAYSIA,1.8
2014-09-01,Sabah,1.91
2014-10-01,Sabah & Sarawak,1.8
2014-10-01,MALAYSIA,1.79
2014-10-01,Sabah,1.99
2014-11-01,Sabah & Sarawak,1.74
2014-11-01,Sabah,2.01
2014-11-01,MALAYSIA,1.68
2014-12-01,Sabah & Sarawak,1.54
2014-12-01,MALAYSIA,1.37
2014-12-01,Sabah,1.81
2015-01-01,Sabah,1.5
2015-01-01,Sabah & Sarawak,1.26
2015-01-01,MALAYSIA,1.15
2015-02-01,Sabah,1.17
2015-02-01,MALAYSIA,1.07
2015-02-01,Sabah & Sarawak,1.04
2015-03-01,Sabah & Sarawak,1.25
2015-03-01,Sabah,1.39
2015-03-01,MALAYSIA,1.33
2015-04-01,Sabah,1.63
2015-04-01,MALAYSIA,1.55
2015-04-01,Sabah & Sarawak,1.45
2015-05-01,MALAYSIA,1.64
2015-05-01,Sabah,1.85
2015-05-01,Sabah & Sarawak,1.6
2015-06-01,Sabah,1.72
2015-06-01,MALAYSIA,1.61
2015-06-01,Sabah & Sarawak,1.57
2015-07-01,Sabah,1.65
2015-07-01,Sabah & Sarawak,1.58
2015-07-01,MALAYSIA,1.68
2015-08-01,Sabah,1.9
2015-08-01,Sabah & Sarawak,1.82
2015-08-01,MALAYSIA,1.89
2015-09-01,Sabah,1.84
2015-09-01,Sabah & Sarawak,1.77
2015-09-01,MALAYSIA,1.81
2015-10-01,MALAYSIA,1.84
2015-10-01,Sabah,2.01
2015-10-01,Sabah & Sarawak,1.87
2015-11-01,Sabah & Sarawak,1.61
2015-11-01,MALAYSIA,1.57
2015-11-01,Sabah,1.8
2015-12-01,Sabah,1.53
2015-12-01,Sabah & Sarawak,1.41
2015-12-01,MALAYSIA,1.34
2016-01-01,Sabah,1.16
2016-01-01,MALAYSIA,1.04
2016-01-01,Sabah & Sarawak,1.08
2016-02-01,Sabah & Sarawak,0.9
2016-02-01,MALAYSIA,0.97
2016-02-01,Sabah,0.92
2016-03-01,MALAYSIA,1.1
2016-03-01,Sabah & Sarawak,1.03
2016-03-01,Sabah,1.07
2016-04-01,MALAYSIA,1.17
2016-04-01,Sabah & Sarawak,1.13
2016-04-01,Sabah,1.22
2016-05-01,MALAYSIA,1.27
2016-05-01,Sabah,1.44
2016-05-01,Sabah & Sarawak,1.29
2016-06-01,Sabah & Sarawak,1.53
2016-06-01,MALAYSIA,1.45
2016-06-01,Sabah,1.69
2016-07-01,Sabah & Sarawak,1.57
2016-07-01,MALAYSIA,1.47
2016-07-01,Sabah,1.68
2016-08-01,MALAYSIA,1.54
2016-08-01,Sabah & Sarawak,1.6
2016-08-01,Sabah,1.68
2016-09-01,Sabah & Sarawak,1.59
2016-09-01,MALAYSIA,1.57
2016-09-01,Sabah,1.67
2016-10-01,MALAYSIA,1.51
2016-10-01,Sabah,1.65
2016-10-01,Sabah & Sarawak,1.53
2016-11-01,MALAYSIA,1.46
2016-11-01,Sabah,1.53
2016-11-01,Sabah & Sarawak,1.41
2016-12-01,Sabah & Sarawak,1.34
2016-12-01,Sabah,1.39
2016-12-01,MALAYSIA,1.36
2017-01-01,Sabah,1.27
2017-01-01,MALAYSIA,1.2
2017-01-01,Sabah & Sarawak,1.24
2017-02-01,MALAYSIA,1.14
2017-02-01,Sabah & Sarawak,1.13
2017-02-01,Sabah,1.17
2017-03-01,MALAYSIA,1.32
2017-03-01,Sabah,1.38
2017-03-01,Sabah & Sarawak,1.29
2017-04-01,Sabah & Sarawak,1.35
2017-04-01,Sabah,1.52
2017-04-01,MALAYSIA,1.38
2017-05-01,Sabah,1.6
2017-05-01,Sabah & Sarawak,1.44
2017-05-01,MALAYSIA,1.45
2017-06-01,Sabah & Sarawak,1.42
2017-06-01,Sabah,1.53
2017-06-01,MALAYSIA,1.37
2017-07-01,Sabah,1.62
2017-07-01,Sabah & Sarawak,1.55
2017-07-01,MALAYSIA,1.61
2017-08-01,Sabah & Sarawak,1.52
2017-08-01,MALAYSIA,1.61
2017-08-01,Sabah,1.5
2017-09-01,MALAYSIA,1.62
2017-09-01,Sabah,1.48
2017-09-01,Sabah & Sarawak,1.49
2017-10-01,Sabah & Sarawak,1.66
2017-10-01,Sabah,1.73
2017-10-01,MALAYSIA,1.78
2017-11-01,Sabah & Sarawak,1.63
2017-11-01,Sabah,1.8
2017-11-01,MALAYSIA,1.75
2017-12-01,MALAYSIA,1.67
2017-12-01,Sabah,1.74
2017-12-01,Sabah & Sarawak,1.54
2018-01-01,Sabah,1.67
2018-01-01,MALAYSIA,1.48
2018-01-01,Sabah & Sarawak,1.43
2018-02-01,Sabah & Sarawak,1.17
2018-02-01,MALAYSIA,1.22
2018-02-01,Sabah,1.41
2018-03-01,Sabah & Sarawak,1.31
2018-03-01,MALAYSIA,1.38
2018-03-01,Sabah,1.53
2018-04-01,MALAYSIA,1.36
2018-04-01,Sabah & Sarawak,1.34
2018-04-01,Sabah,1.49
2018-05-01,Sabah,1.38
2018-05-01,MALAYSIA,1.32
2018-05-01,Sabah & Sarawak,1.32
2018-06-01,MALAYSIA,1.17
2018-06-01,Sabah,1.18
2018-06-01,Sabah & Sarawak,1.19
2018-07-01,Sabah,1.24
2018-07-01,Sabah & Sarawak,1.29
2018-07-01,MALAYSIA,1.28
2018-08-01,Sabah,1.28
2018-08-01,MALAYSIA,1.39
2018-08-01,Sabah & Sarawak,1.4
2018-09-01,Sabah,1.52
2018-09-01,MALAYSIA,1.62
2018-09-01,Sabah & Sarawak,1.62
2018-10-01,Sabah & Sarawak,1.69
2018-10-01,MALAYSIA,1.7
2018-10-01,Sabah,1.76
2018-11-01,Sabah & Sarawak,1.62
2018-11-01,MALAYSIA,1.63
2018-11-01,Sabah,1.84
2018-12-01,Sabah & Sarawak,1.56
2018-12-01,Sabah,1.86
2018-12-01,MALAYSIA,1.61
2019-01-01,MALAYSIA,1.52
2019-01-01,Sabah & Sarawak,1.44
2019-01-01,Sabah,1.72
2019-02-01,MALAYSIA,1.34
2019-02-01,Sabah,1.51
2019-02-01,Sabah & Sarawak,1.26
2019-03-01,Sabah & Sarawak,1.32
2019-03-01,MALAYSIA,1.42
2019-03-01,Sabah,1.57
2019-04-01,MALAYSIA,1.42
2019-04-01,Sabah,1.42
2019-04-01,Sabah & Sarawak,1.28
2019-05-01,Sabah,1.43
2019-05-01,Sabah & Sarawak,1.29
2019-05-01,MALAYSIA,1.4
2019-06-01,MALAYSIA,1.34
2019-06-01,Sabah & Sarawak,1.25
2019-06-01,Sabah,1.3
