month,cpo_production_t,closing_stock_t,palm_oil_exports_t,palm_oil_imports_t
2014-01-01,1508980.0,1935215.0,1367962.0,15782.0
2014-02-01,1275812.0,1656931.0,1351441.0,8259.0
2014-03-01,1497142.0,1688093.0,1245766.0,15140.0
2014-04-01,1555777.0,1766190.0,1268648.0,43059.0
2014-05-01,1656957.0,1841341.0,1416958.0,50698.0
2014-06-01,1569684.0,1656756.0,1483191.0,10993.0
2014-07-01,1665661.0,1684756.0,1446060.0,13308.0
2014-08-01,2031677.0,2053199.0,1437796.0,17574.0
2014-09-01,1896901.0,2090529.0,1643294.0,38491.0
2014-10-01,1892994.0,2166311.0,1611459.0,82971.0
2014-11-01,1750567.0,2280561.0,1514051.0,98940.0
2014-12-01,1364864.0,2015789.0,1519622.0,90353.0
2015-01-01,1160687.0,1761895.0,1191776.0,89908.0
2015-02-01,1121628.0,1736159.0,972646.0,63515.0
2015-03-01,1495151.0,1858392.0,1194230.0,41574.0
2015-04-01,1693425.0,2182012.0,1177822.0,65007.0
2015-05-01,1810530.0,2239486.0,1625592.0,101108.0
2015-06-01,1763667.0,2141910.0,1697169.0,103496.0
2015-07-01,1815634.0,2257897.0,1609902.0,142845.0
2015-08-01,2051000.0,2491966.0,1608303.0,66006.0
2015-09-01,1959064.0,2641292.0,1680882.0,75962.0
2015-10-01,2037466.0,2835348.0,1711924.0,73434.0
2015-11-01,1653946.0,2910929.0,1499757.0,121819.0
2015-12-01,1399383.0,2633940.0,1484211.0,83486.0
2016-01-01,1129747.0,2308778.0,1279187.0,34400.0
2016-02-01,1042707.0,2170341.0,1088864.0,67583.0
2016-03-01,1219449.0,1885631.0,1335934.0,74452.0
2016-04-01,1301291.0,1804495.0,1172915.0,41798.0
2016-05-01,1364583.0,1649859.0,1282453.0,20024.0
2016-06-01,1532613.0,1774625.0,1141832.0,19636.0
2016-07-01,1585341.0,1770367.0,1384720.0,12823.0
2016-08-01,1701833.0,1464081.0,1824437.0,7807.0
2016-09-01,1715085.0,1546758.0,1461173.0,1792.0
2016-10-01,1677873.0,1574471.0,1436070.0,26857.0
2016-11-01,1574938.0,1663728.0,1370411.0,63491.0
2016-12-01,1473717.0,1666673.0,1267962.0,44752.0
2017-01-01,1276849.0,1541088.0,1287782.0,71591.0
2017-02-01,1258539.0,1459361.0,1107768.0,40331.0
2017-03-01,1464021.0,1553219.0,1265800.0,101961.0
2017-04-01,1548026.0,1600126.0,1284120.0,54475.0
2017-05-01,1654494.0,1557354.0,1506145.0,47450.0
2017-06-01,1514255.0,1526839.0,1379888.0,45828.0
2017-07-01,1826828.0,1784369.0,1399107.0,52962.0
2017-08-01,1810551.0,1941717.0,1488211.0,41661.0
2017-09-01,1779918.0,2015922.0,1519284.0,41173.0
2017-10-01,2008838.0,2203383.0,1538050.0,13479.0
2017-11-01,1942847.0,2553739.0,1356378.0,30191.0
2017-12-01,1834176.0,2732093.0,1427425.0,14991.0
2018-01-01,1586653.0,2548712.0,1472656.0,34825.0
2018-02-01,1342805.0,2476453.0,1243621.0,67165.0
2018-03-01,1574079.0,2339953.0,1566183.0,39626.0
2018-04-01,1558769.0,2194102.0,1530406.0,35624.0
2018-05-01,1525490.0,2193257.0,1291627.0,32260.0
2018-06-01,1332704.0,2204187.0,1129518.0,85889.0
2018-07-01,1503220.0,2231550.0,1196672.0,44030.0
2018-08-01,1620605.0,2504924.0,1099896.0,80191.0
2018-09-01,1853602.0,2529455.0,1619482.0,61599.0
2018-10-01,1964954.0,2722669.0,1578493.0,117269.0
2018-11-01,1845222.0,3007095.0,1375685.0,134352.0
2018-12-01,1808038.0,3216476.0,1383307.0,108621.0
2019-01-01,1737461.0,3002871.0,1680891.0,81477.0
2019-02-01,1544518.0,3056948.0,1324615.0,94278.0
2019-03-01,1672058.0,2920377.0,1620752.0,131242.0
2019-04-01,1649368.0,2726910.0,1654499.0,62112.0
2019-05-01,1671467.0,2444458.0,1715719.0,61789.0
2019-06-01,1510957.0,2410828.0,1397140.0,101250.0
2019-07-01,1740759.0,2378272.0,1486485.0,40069.0
2019-08-01,1821548.0,2240491.0,1736216.0,51055.0
2019-09-01,1842433.0,2448484.0,1409089.0,71112.0
2019-10-01,1795841.0,2352279.0,1641973.0,85034.0
2019-11-01,1538053.0,2255082.0,1405638.0,74684.0
2019-12-01,1333904.0,2010527.0,1398049.0,123029.0
2020-01-01,1171534.0,1755417.0,1213050.0,85033.0
2020-02-01,1288515.0,1700261.0,1089529.0,66735.0
2020-03-01,1401481.0,1729592.0,1184933.0,79216.0
2020-04-01,1652771.0,2044498.0,1236478.0,56596.0
2020-05-01,1651336.0,2029579.0,1369351.0,37101.0
2020-06-01,1885742.0,1898372.0,1706725.0,48841.0
2020-07-01,1807397.0,1699171.0,1783284.0,52691.0
2020-08-01,1863309.0,1702809.0,1578075.0,32311.0
2020-09-01,1869256.0,1721802.0,1612155.0,48273.0
2020-10-01,1724559.0,1573389.0,1674337.0,45398.0
2020-11-01,1491074.0,1562317.0,1302399.0,112663.0
2020-12-01,1333639.0,1265698.0,1642900.0,282058.0
2021-01-01,1126457.0,1324639.0,947392.0,168717.0
2021-02-01,1108236.0,1306022.0,900558.0,87326.0
2021-03-01,1423483.0,1443916.0,1189859.0,137332.0
2021-04-01,1528121.0,1545905.0,1350777.0,109847.0
2021-05-01,1571525.0,1569418.0,1268424.0,89014.0
2021-06-01,1606187.0,1614226.0,1418494.0,113126.0
2021-07-01,1527761.0,1498269.0,1402315.0,54381.0
2021-08-01,1710356.0,1877773.0,1167188.0,91408.0
2021-09-01,1703740.0,1756404.0,1611518.0,74992.0
2021-10-01,1725837.0,1834568.0,1420391.0,50450.0
2021-11-01,1634932.0,1817061.0,1466218.0,97891.0
2021-12-01,1449719.0,1614594.0,1423821.0,102768.0
2022-01-01,1253581.0,1552477.0,1155826.0,84583.0
2022-02-01,1137462.0,1519412.0,1111507.0,155507.0
2022-03-01,1411223.0,1474338.0,1281461.0,85150.0
2022-04-01,1462053.0,1643974.0,1068238.0,77652.0
2022-05-01,1461029.0,1523308.0,1369714.0,57823.0
2022-06-01,1545111.0,1645836.0,1193917.0,59273.0
2022-07-01,1573563.0,1774308.0,1321343.0,133557.0
2022-08-01,1725787.0,2094678.0,1298184.0,172151.0
2022-09-01,1770441.0,2318202.0,1419235.0,132303.0
2022-10-01,1813596.0,2411113.0,1505769.0,69064.0
2022-11-01,1680741.0,2291291.0,1513031.0,47047.0
2022-12-01,1618833.0,2196574.0,1473846.0,64911.0
2023-01-01,1380410.0,2268198.0,1137066.0,156388.0
2023-02-01,1253573.0,2119854.0,1128047.0,52506.0
2023-03-01,1288354.0,1674022.0,1485300.0,39772.0
2023-04-01,1194559.0,1497877.0,1090074.0,43118.0
2023-05-01,1517634.0,1690204.0,1080817.0,80926.0
2023-06-01,1447697.0,1718771.0,1172116.0,135271.0
2023-07-01,1609927.0,1733900.0,1358131.0,103837.0
2023-08-01,1753472.0,2110980.0,1221317.0,110621.0
2023-09-01,1829434.0,2312329.0,1210752.0,49054.0
2023-10-01,1937224.0,2447038.0,1480686.0,47557.0
2023-11-01,1788870.0,2402611.0,1406537.0,39696.0
2023-12-01,1550796.0,2290793.0,1363288.0,40062.0
2024-01-01,1402355.0,2020394.0,1349369.0,29494.0
2024-02-01,1259382.0,1920346.0,1025538.0,32556.0
2024-03-01,1392471.0,1712657.0,1329120.0,21894.0
2024-04-01,1501905.0,1744873.0,1236523.0,34762.0
2024-05-01,1704495.0,1753665.0,1385079.0,20761.0
2024-06-01,1615283.0,1831571.0,1210309.0,11738.0
2024-07-01,1840999.0,1754605.0,1696239.0,10483.0
2024-08-01,1893859.0,1883465.0,1535194.0,9970.0
2024-09-01,1821933.0,2012110.0,1559639.0,5482.0
2024-10-01,1797348.0,1885194.0,1744333.0,16347.0
2024-11-01,1621294.0,1835641.0,1490357.0,22081.0
2024-12-01,1486942.0,1708756.0,1341784.0,37917.0
2025-01-01,1239895.0,1580934.0,1179907.0,88474.0
